genres,count(movieID)
Documentar,316098
"Short",909958
"Animation",72318
"Comedy",325836
"Romance",85680
"Drama",557698
"Fantasy",48164
"Horror",94529
"Biography",35741
"Music",45071
"Crime",65326
"Family",51729
"Adventure",47527
"Action",86186
"History",28321
"Mystery",42751
"Sci-Fi",43873
"Musical",21156
"Thriller",85033
