primaryName,AverageVotes
"Cho Nam-Joo",4071.0000
"Shyam Selvadurai",970.0000
"Sandeep Prabhu",1622.0000
"Gege Akutami",29293.0000
"Satyadev Janga",14607.0000
"Nathan Cowles",1427.0000
"Andrew Fein",1427.0000
"Yu Bu",2619.0000
"Jae-Hoon Ahn",1156.0000
"Elísio Lopes Jr.",2225.0000
"Mallarapu Kumar",1040.5000
"Tripurari Kumar Sharma",2073.0000
"Anaz Bin Ibrahim",3425.0000
"Obeth S. Thomas",3425.0000
"Steven Klein",27459.0000
"Toom Venkat",2732.0000
"Sreejith Divakaran",1107.0000
"Max Booth III",3510.0000
Guruvaran,7336.0000
"James Frazier",771.0000
"Shannon Stacey",696.0000
"Maria Pulawska",833.0000
"Abdullah Raaj",1628.0000
"Lorenzo Ura",3318.0000
"Patrizia Fiorellini",3318.0000
"Scarlet Wilson",1302.0000
"Hanno Pinter",1456.0000
"Ganesh Kumar Ravuri",943.5000
"Raaju Bonagaani",2364.7500
"Vivencio R. Jose",2423.0000
"Shari Sharpe",1011.0000
"Harsh Kanumilli",1317.0000
"Cezary Lazarewicz",1737.0000
"T. Booker James",827.7500
"Sumaquel P. Hosalla",2423.0000
"Robert H. Oliver",653.8000
"Leo Hong",911.0000
"Pedro Javier",2423.0000
"Ayman Asib Shadhin",655.0000
"Renjith Ravindran",634.0000
"Barbara Hannay",640.0000
"Rajnikanth Kota",1240.0000
"Bayu Kurnia Prasetya",663.0000
"Alok Jha",63215.0000
"Pranay Vivek Patil",63215.0000
"Nagesh Bharadwaj",6664.0000
"Chen Zhan",685.0000
"Lizzie Presser",1509.0000
"Sumeet Bishnoi",19709.0000
"Jenna Palermo",732.0000
"Thacker Hoffman",1634.5000
"Nelson Dilipkumar",5735.0000
"Aneesh Sahadevan",1144.0000
"Sreejith Sasidharan",1144.0000
"J.D. Ellis",1094.0000
"Akshay Hareesh",2494.0000
"Anne Abramowitz Junget",894.5000
"Gonzalo Delgado",925.0000
"Victoria González",3836.0000
"Ahmed Osman",1752.0000
"Laurie Fox",646.0000
"Bhanu Bhogavarapu",634.2500
"Fern Michaels",1277.0000
Geevee,7237.0000
"Patrycja Mnich",1128.0000
"John Collins",1715.0000
"Kashinath Singh",1888.0000
Apsar,2044.0000
"Michael Elliot",2319.0000
"Cankat Vatanandiran",667.0000
"Coby Gilyard",2278.0000
"Han Li",779.0000
"Suman Ankur",9270.0000
"Khandelwal Shashank",9270.0000
"Kasidej Sundararjun",1387.0000
"Apinnat Chanbunsai",1387.0000
"Julia Kogan",58472.0000
"Habacuc Antonio De Rosario",898.0000
"Emily Schmitt",944.5000
"P. Shijith",5762.0000
"Nick May",22514.0000
"Rinish Ravindra",11905.0000
"Rajiv G. Menon",5952.5000
"Joe Derrick",26677.0000
"Maria Pevchikh",2351.0000
"Jun-Seok Heo",6611.0000
"Berikbol Sabyrzhanov",658.0000
"Francesca Forristal",2443.0000
"Devon Rose",7810.0000
"Pradeep Srivastava",679.0000
"Janiz Chacko Simon",2101.0000
"Scott K. Andrews",1164.0000
"Kiran Jay Kumar",3837.0000
"Marzanna Polit",3734.0000
"Matthew Jacobs",659.3333
"Stepan Oleynik",2796.0000
"Amélie Philippe",1091.0000
"Mallik Chintakunta",1605.0000
"Seung-min Yoon",27758.0000
"Seo-ae Yoo-Kang",27758.0000
"Dale Effren",984.0000
"Sk Sachin",1362.0000
"Jenna Glatzer",1309.0000
"Ho-Shui Li",886.0000
"Ali Ghaleb",658.0000
"Ashiq Aimar",2673.0000
"Mithlesh Kaushik",21028.0000
"Nguyen Truong Nhan",2253.3333
"Sudheer Varma P.",640.6667
"Luisa Mascarenhas",1009.0000
"Ravishankar P.T.",12545.0000
"Jeff Gass",1241.0000
"Choong-Ryul Hyun",1073.0000
"Shreenidhi Ds",2243.0000
"Brandon Reavis",22514.0000
"Ramón González",631.0000
"Jimmy Satish Hasija",2930.0000
"Vaishali Naik",692.0000
"Michael Scott",2219.0000
"Amit Tiwari Anand",2576.0000
"Ed Hobbs",3198.0000
"Mohammad Mahadi",1002.0000
"Louise Jordan Miln",697.0000
"Ravi Prakash Bodapati",668.0000
"The Gordons",1529.0000
"Yves H.",9085.0000
"Essam Bukhary",1205.0000
"Amr Almaddah",1205.0000
"Ho Thuc An",984.0000
"Suresh Kothapalli",1787.0000
"Patricia Grace",637.0000
"Andreea Chelesu",748.0000
"Pongset Laksamipong",2152.0000
"Jennifer Clement",1903.0000
"Abhishek Khairkar",4399.0000
"Nikolay Gromov",1050.0000
"Rakesh Kuriakose",930.0000
"Kamer Evren",7527.3333
"Bharath Savithri Divakar",879.0000
"Winston McDonald",944.0000
"Camille DeAngelis",50854.0000
"Philip Villa",2665.0000
"Jill Waas",2103.0000
"Olivier Massart",1835.0000
"Nadiah Riebensahm",1556.0000
"Jacob D. Wehrman",1718.0000
"Pavel Vinogradov",659.6667
"Samragnee Bandyopadhyay",700.3333
"Kanna Kii",2351.0000
Mohansato,770.0000
"Pamela Rice",719.0000
"Shaji Maarad",1847.0000
Shreemani,1811.0000
"Frank Salcido",4796.0000
"Soo-Young Hong",645.0000
"Evgeny Eronin",13215.0000
"Aleksandr Kim",6797.0000
"Ashish Mehta",1998.0000
"Ariana Godoy",4832.5000
"Kit Lesser",8602.0000
"Li Shuxing",4337.0000
"Olga Rodriguez",1884.0000
"Tabi McCartney",6576.0000
"Lam Kay Toa",24532.0000
"George Michael Phillips",905.0000
Srinadh,1085.0000
"Ching Nakamura",2354.0000
"Vasanth Maringanti",2686.0000
"Krishna Prathyusha",2686.0000
"Mehdi Namjoo",2171.0000
"Mohammad Sadegh Bagheri",2171.0000
"Marie Bregendahl",648.0000
"Nischay Kutt",18535.0000
"Keith Blum",21197.0000
"Ruchita Chatterji",1142.3333
"K. Palani",1784.0000
"Jimmy Rampal",1764.5000
"Nasir Meherali",1320.0000
"Rebel Ravi",4419.0000
"G. Jayakannan",875.0000
"Chris Maes",944.0000
"Yang Yu",2725.5000
"Hasse Steenssens",1790.5000
"Robert Knuckle",11329.0000
"Tove Forsman",1107.0000
"Amanda Wendler",10895.0000
"Libby Alexander",10895.0000
"Khila Bisht",56934.0000
"Vivek Desai",1320.0000
"Jenny Jägerfeld",689.0000
Misty,1632.0000
"Jessica Scott",5802.0000
"Ganesh Hegde",8014.0000
"Hari Mohana Krishna",7316.0000
"Jitesh Vasani",1126.0000
"Jobaed Ahsan",1187.6667
"Abdulxafar Abdulla",673.0000
"Luqman Sukhanwar",673.0000
"Venu Madhav Peddi",1100.0000
"Eric Gregory",8583.0000
"Krushna Hari",4663.0000
"Martín Erazo",1736.0000
"Oliver Kindeberg",1642.0000
"Peter Middleton",1642.0000
"Ellie Carpenter",1350.0000
"Bipin Ragu",5672.5000
"Richard Montanez",13043.0000
"Jack Cross",4666.0000
"Vineeth Potluri",7316.0000
"Yanala Siva",1860.0000
"Bibin Maliekal",6684.0000
"Kittitat Nokngam",1730.0000
"Emran Hossen",2871.0000
"Suman Adhikary",10237.0000
"Shivam Bajpai",23952.0000
"Abdelrahman Yasser",1475.3333
"Srinivas Chakravarthy",986.0000
"Shanmuga Sundaram",2285.0000
"Deeki Deke",1129.0000
"Claudine Galea",1725.0000
"Alexey Timoshkin",1488.0000
"Kim Askew",1432.0000
"Amy Helmes",1432.0000
"Sreenath V. Nath",4387.0000
"Vikram Singh",1196.0000
"Pratchaya Thavornthummarat",2152.0000
"K.R. Krishna Kumar",2475.0000
"Senaryo Ekibi Rafadan",20596.0000
"Sreenath Reddy",2113.0000
Nani,2113.0000
"B.K. Radha Krishna",824.5000
"Pruthvi Teja",758.0000
"Raul Gheba",996.0000
"Arpita Chatterjee",2030.5000
Tmr,2081.0000
"Randi Fuglehaug",1580.0000
"Lee Gye-Wook",3094.0000
"A.R. Tagore",2139.0000
"Jenny B. Jones",7748.0000
"Kaden Selvidge",17363.5000
"Ge Jing",1167.0000
"Alexander Dorbinyan",1064.0000
"Maël Le Garrec",895.0000
"Aditya Shastri",9360.0000
"Vladimir Solovyov",1330.0000
"Kirsten King",8797.0000
"Muthu Cheziyan",8853.0000
"Umesh Sharma",661.0000
"Prashant Jha",7524.0000
"Chung Justine",1445.0000
"Lee Mizi",1445.0000
"Chris Kemper",631.0000
"Vihar Padala",2673.0000
"Tamizh Prabha",8153.3333
"Nagira Yuu",670.0000
"Veda Vyas",1673.0000
"Fawad Hai",2365.0000
"Sk Unus Ali",1089.0000
"Shima Mohmmadbeygi",1702.0000
"Nguyen Ngoc Thach",1172.0000
"B.L. Babu",2124.0000
Vipanchi,3322.0000
"Vandana Tiwari",1052.5000
"Jan Stola",1084.0000
"Malcolm Xd",1084.0000
"Abhijeet Das",1752.0000
"Soumyajit Roy",1752.0000
"Christiana Oliveira",1300.0000
"Krishna Naroju",15647.0000
"Kasi Viswanath Nagubandi",2042.0000
"Caridad Piñeiro",951.0000
"N. Bhaskaran",4429.0000
"Varadaraj Chikkaballapura",35387.0000
"Chelangad Gopalakrishnan",1491.0000
"Pooja Bhavoria",24805.0000
"V. Madhava",956.0000
"Navin Sundaramurthy",3595.0000
"Mohamed El Hafnawy",1755.0000
"Packiaraj Ramalingam",898.5000
"Karthick Krishna C.S.",852.0000
"Amy Cheung",625.0000
"Nicola Louise Taylor",5880.0000
"Atul Kumar Rai",1420.5000
"Martin Tomlinson",844.0000
"Sung-bin Jeon",713.0000
"Jung-hwa Jo",713.0000
"The Baozou Family",18842.0000
"Yoo-Sung Hong",2233.0000
"Olivier Lemaire",2080.0000
"Gopal Mudhane",2044.0000
"Pauls Toutonghi",5654.0000
"Kemal Varol",2848.0000
"Young-Joon Ha",861.0000
"Prajwal Chandrashekar",6830.0000
"Tim Roxborogh",5416.0000
"Grant Chastain",3495.0000
"Anantha Shandreya",825.0000
"Raghavendra Mayakonda",825.0000
SureshKumarKusireddy,3242.0000
"Sha Song",880.0000
"Hammour Ziada",2581.0000
"María Luisa Calderón",1236.0000
"Amar Bhushan",2539.0000
"Vasantha Kiran",1860.0000
"Elena Valdez",1512.0000
"Dulal Lahiri",2286.0000
"Min Yu",805.5000
"Harinder Kour",1556.0000
"Sabarivasan Shanmugam",1935.0000
"Rutham Samar",63416.0000
"Raveesh Nath",1349.5000
"Phva Sanjeevi",8387.5000
"Sreeparna Mitra",2669.0000
"Carl Ludwig",674.0000
"K. Raja Shekhar Reddy",4132.0000
"Sébastien Fernandez",984.0000
"Nidhish G.",1847.0000
"M. Salim",1100.0000
"Rajat Arora",2296.0000
"Vivek Bele",814.0000
A.i,1624.0000
"Ed Alan",2717.0000
"Tanojkumar Meshram",2631.0000
"Joshua Whitehead",1032.0000
"Thrissur Gopalji",678.0000
"Chika Tôjô",1447.0000
"Bethan Roberts",20497.0000
"Ivp Trajkov",1267.0000
"Aradhana Sah",6312.3333
"Tim Cooke",1316.0000
"Arif Hossain",1661.0000
"K.N. Vijay Kumar",10134.8571
"Olivier Bouchara",657.0000
"Padmavathi Malladi",9369.6000
"Jay Krishna",21365.0000
"Jay Krishnan",2892.0000
"Morten Dürr",672.0000
"Nagaraju Maduri",3043.0000
"Sudharshan Narasimhan",871.0000
"Balaji Kesavan",1757.0000
"Ashiq Akbar Ali",1176.0000
"Edie Grace",1237.0000
"Raaghav Vinay Shivagange",94288.0000
Fuse,1401.0000
"Kirti Deghatak",35364.0000
"Vijaysinh Gol",20293.0000
"Bharti Suryavanshi",1047.0000
"Emma Claire Martin",1138.0000
"Turki Al Alshikh",1764.0000
"Bharath Pacha",1160.0000
"Abd-Elhamed Emad Taha",2650.0000
"Maxime Rabault",5106.0000
"Satish Aketi",1007.0000
"Amin Nawabi",18714.0000
Moegara,980.0000
"Praneeth Vijayan",1266.5000
"Ajeesh P. Thomas",840.0000
"Reshma Ramachandran",1962.0000
"Aito Aoyagi",1105.0000
"Issac Basil",956.0000
"Raju Nagamani",1986.0000
"Sharma Uday",1986.0000
"Suryapal Singh",13185.0000
"Dilip Mohan",628.0000
"Jessica Parker",1456.0000
"Hesam Sameri-Zadeh",742.0000
"Andy Sandberg",1215.0000
"Scotty Atkins",55270.5000
"Dev Rangabhumi",1079.0000
"Arno Meyer zu Künigdorf",4250.0000
"Ajit Jagtap",891.5000
"Ezhilarasu Gunasekaran",24367.0000
"Honglu Liu",2619.0000
"Yupeng Guo",2619.0000
"Winnie Benjamin",802.0000
"Indiana Lista",2926.6000
"Michaela Wesely",2278.0000
"Carolyn Keene",2167.5000
"Ian Southwood",1045.0000
"Emma Briant",12373.0000
"Lu Jia",1364.0000
"Ata Cilli",1016.0000
"James D Hughes",1034.0000
"Sanjeev Tiwari",681.0000
"Peter Steinfeld",73591.6667
"Simran Sahni",14954.0000
"The Gawain Poet",14226.2500
"Ruka Kosaka",1086.0000
"Rajendra Sapre",48878.2000
"Sandeep Raj",2855.0000
"Anirudh Paka",1343.0000
"Charles Monroe King",2597.0000
"Vamsi Balapanuri",680.0000
"Brooklyn El-Omar",16223.0000
Hrishikesh,2308.0000
"Jane MacDonald",2481.0000
"Celil Cavanshir",2111.0000
"Youssef Emad",708.3000
"Challa Bhagyalakshmi",11542.0000
"Andrew Lokenauth",1170.3333
"Ahmed Mohamed Salem",1037.5000
"Yildiz Bayazit",2760.5000
"Lori Wilde",1238.0000
"Julian Kijowski",1128.0000
"Rajani Rajababu",781.0000
"Mukul Verma",951.0000
"Kyuichi Tsuji",4793.0000
"Mostafa Ajvadi",794.0000
"Khizar Jahangir",1856.0000
"Tatsuki Miyazawa",940.0000
"Catherine Kidd",6259.0000
"Hyun Ho Yoon",4276.0000
"Rei Rairaku",940.0000
"Xavier Alex",1375.0000
"Shah Alam",2018.0000
"Mei Hachimoku",1116.0000
"Chun Sung-il",4418.0000
"Kim Min-soo",695.0000
Palaspandiras,3920.0000
"Marine Autexier",1331.0000
"A.R. Prabhav",41513.5000
"Narendra Sharma",13037.0000
"Rani Burra",13037.0000
"Bae Young-Ik",815.0000
"Bernard Cendron",2587.0000
"Tamizharasan Pachamuthu",1506.0000
Divyanka,2302.0000
"GJ Deshmukh",11542.0000
Bhardwaj,1990.0000
"Zac Bissonnette",7073.0000
"Cheung Gam Hung",1597.0000
"Cameron Larson",1186.0000
"Rahul Kale",8830.0000
"Wajid Shaikh",19873.1429
Kalpradah,2338.0000
"Shuyi Gu",1502.0000
"Vimal Gopalakrishnan",5350.0000
"Caroline Michel-Aguirre",877.0000
"Tim Gwynn",765.0000
"Pam Bales",8026.0000
"Yukako Kabei",940.0000
"Hideyuki Furuhashi",940.0000
"Ramu Nunna",1363.0000
"Rachit Yadav",4402.0000
"Lee Yong-jae",841.0000
"Jonathan Cohen",1458.0000
"Jasmine Leigh",1256.0000
"Hrishikesh Bhaskaran",1260.0000
"Afshin Kamran Bahrami",21546.0000
"Rebecca Connor",16796.0000
"Margarita Matthews",1059.0000
"Sabelo Mgidi",4366.0000
"Gretchen Cowan",846.0000
"Che-Wei Chang",18593.0000
"B.R. Rajashekhar",1161.0000
"Shoji Takao",2521.0000
"Max Turell",2495.0000
"T. Laresca",761.0000
"Toriqul Islam",673.0000
"Nika Heinrich",1119.0000
"Oskar Minkler",1119.0000
"Aneel K. Reddy",863.0000
"Md Korshad Alam",740.0000
"Manivannan Balasubramaniam",873.0000
"Arpita Mukherjee",4542.0000
"Hariharan Raju",6491.0000
"Iselin Theien",1568.0000
Raminpasyar,1669.0000
"Franklin Sioux Bob",1949.0000
"Bill Reddy",1949.0000
"Shôgo Sugitani",1016.0000
"Diane Mott Davidson",762.5000
"Elénore Gurrey",915.0000
Edukondalu,1085.0000
"Vasudev Reddy",9360.0000
"Krishnan Hariharan",21224.0000
"David J. Carrow",1688.0000
"Himanshu Tripathi",8003.5000
"Jyotsna Hariharan",866.0000
"Alan Scott Haft",5534.0000
"David Thollander",1579.0000
VenkatKacharla,2223.0000
"M A Kennady",1193.0000
"Paulo Lopes Graça",823.0000
"Horace Pippin",947.0000
"P.S. Subramanian",1550.0000
"Wissam Sabri",984.0000
"Pierre Pouchairet",1875.0000
"J. Davin",830.0000
"Ravi Kiran",9698.0000
"Gautam Siddharth",8255.1852
"Balvinder Kaur",1608.0000
Basheer,1364.0000
"Farooq Mir",1916.5000
"Ali Lucknowi",3221.0000
"Vijayarani R. Gupta",629.0000
"Syam Lenin",916.0000
"Mona Arya",3461.0000
"B.S. Nirmal Raj",1108.0000
"Augusta Gore",54720.0000
"Peter Smirnakos",2463.0000
"Abhay Dev Puri",1521.0000
"Aashish Pawaskar",1521.0000
"M. Suyanto",3051.0000
"Min-Seong Kim",9043.0000
"Rachael Thoele",838.0000
"DJ Détonateur S",638.0000
"Pierre Le Coz",8272.0000
"Pratik Dutta",1331.0000
"Jon Allison",778.5000
"Eivind Sæther",688.0000
"Marianna Pochron",754.0000
"Naser Abdulrahman",671.0000
"Bharani Gopinath",884.5000
"Henry Stenberg",2844.6667
"Oscar Andreani",673.0000
"Raúl Aragón",673.0000
"Osvaldo Baratucci",673.0000
"Mariano Cazeaux",673.0000
Fengxishenlei,2115.0000
"Bharat Kumar Pogula",2076.0000
"Wayne R. Whitley",1125.0000
"Tashena Ebanks",1821.0000
"Mohan Srivatsasa",1902.0000
"Nasir Zaman",4074.6667
"G. Deepak",688.0000
"M Chandramouli",22947.6667
"Andreas Malm",6801.0000
"Chucen Zhou",1083.0000
"Xiaohan Han",1083.0000
"Drew Asparagus",5014.0000
"Suzie Miller",751.0000
"Can Anar",1415.0000
"Raghav Mirdath",681.0000
"Ravi Shanker Mantha",1998.0000
"Kamal Shukla",2058.0000
"Rodolfo Palacio",9723.0000
"Nikhil Ravindran",2368.0000
"Vineeth Jose",2368.0000
"Jenna Evans Welch",6169.0000
"Mohamed Khaled",1555.0000
"David Chariandy",804.0000
"Aneesh Anjali",2909.0000
"Debbie Mason",1429.0000
Welzard,3232.0000
"Katsutoshi Murase",3232.0000
"Selen Bagci",2288.0000
"Gavo Amiel",1575.0000
"Mohamed Nasser Hamza",817.6000
"Fiona Rosenbloom",19961.0000
"James M. Bear",788.0000
"Aman Puranik",2826.0000
"Shweta Bothra",2826.0000
"Kim Se-hwi",823.0000
"Toufiq Hasan Kiron",1052.0000
"Hardev Singh",1083.0000
Jimmi,1083.0000
"Manila Rattan",997.5000
"Kerolos Ayman Fawzy",644.0000
"Shivashis Banerjee",3211.0000
"Hassan Essam",952.0000
"Nicolás Gueilburt",991.0000
"Mykola Voronin",4900.0000
"Abir Ahmed",1043.0000
"Rubesh Rain",1095.0000
"Will Patching",1083.0000
"Ranjith Unni",661.0000
"Renji Asai",790.0000
"Karthik Rajan",888.0000
"Kim Min-sung",3128.0000
"William Laurent",702.0000
"Sunil Dhawan",3396.0000
"Beth Labonte",702.0000
"Raj Kumar Kandamudi",63416.0000
"Vasudev Muneppagari",3990.0000
"Mandip Gautam",2641.0000
"Anthony Khatchaturian",1088.0000
"Rafi Warsi",8499.0000
"Swati Biswas",946.0000
"Arvinder Kaur",661.0000
"Jerry Todt",955.0000
"Moira Dewil",1232.0000
"Nazareno Obregón Nieva",1371.2308
"Sooraj V. Dev",776.0000
"Jacquie McNish",23294.0000
"Luuk Ornstein",824.0000
"Girvani Dhyani",4096.0000
"Kausar Munir",4096.0000
"Mercedes Ron",18485.0000
"Gautam Verma",5035.0000
"Tatsuro Mishima",2357.5000
"Naresh Paruchuri",2061.5000
"Sunil Ponnam",2057.0000
"Ryan Bruce",700.0000
"Susan Wille",700.0000
"Heung-Yong Park",787.0000
Agnidivya,2264.0000
"Quang Hung Ho",1193.0000
"Avinash Pathak",7850.0000
"Ravi Sri Durga Prasad",2057.0000
"Rs Arif Hossain",1002.0000
"Manish Mundra",6477.0000
"Haider Rizvi",6477.0000
Samah,6477.0000
"Tori Rose",5904.0000
"Manav Mahapatra",3310.0000
"Luanna Guimaraes",825.0000
"Michal Matejkiewicz",1322.0000
"Islam Osama",1445.0000
"Aradhana Sah",9002.0000
"Saeed Koohzad",2163.0000
"Barbara Dunlop",1034.0000
"Ajay Nali",3266.0000
"Nashid Mohamed Famy",4482.0000
"Ajith Kumar",4482.0000
"J.T. Molloy",24293.0000
"Ivan Zamorov",1215.0000
"Vyacheslav Omutov",1437.0000
"Hetty van de Rijt",655.0000
"Frank Plooij",655.0000
"Mustafa Boudellah",655.0000
"Anton Zimin",688.0000
"Aleksey Nagin",688.0000
"Thanaram Prameboon",726.0000
"Shanil Guru",98481.0000
"Sanjeev K Rajat",5293.0000
"Im Seong-soon",1796.0000
"Fazal Hameed",2018.0000
"Je-Gyun Yoon",1796.0000
"Annabelle Costa",1310.0000
"Jonas Wagner",21546.0000
"Murtaza Mehdi",1380.0000
"Ai Orii",6931.0000
"Johnny Onda",6931.0000
"Chenguang Qian",1487.0000
"Si'ao Dai",1487.0000
"Yuyue Shen",1487.0000
"Seok Jo",1487.0000
"Timothé Le Boucher",2340.0000
"Chiara Parenti",1066.0000
Roju,7237.0000
"Mary Yost",3282.0000
"Priya Das",838.0000
"E.S. Dolan Dix",964.0000
"Cameron Mitchell",1324.0000
"Mohammed Algarawi",1586.5000
"Bingbao Lin",1503.5000
"Akhil P. Dharmajan",9476.0000
"Rayud Bandi",2047.0000
"Dana Schwartz",671.0000
"Trieu Hoang My",1088.0000
"Fatemeh Doost Fatemeh",1053.6667
"Sagruti Wadke",1682.0000
Mokssh,2163.0000
"Aleksandr Segen",1310.0000
"Arjun Narayanan",859.0000
"Safi Quadri",1128.0000
"Sonali Jain",11410.0000
"Rosario Gorgone",2385.0000
"John Jordan",6721.0000
"Saumya Tiwari",11410.0000
"Narayana Sri",1065.0000
"Maruf Ahmed",1363.0000
"Fethi Baser",1022.0000
"Tiruvarur K. Thangaraj",703.0000
"Claire Moorsom",4142.0000
"Yasemin Erturan",1672.0000
"Joe O'Curneen",660.0000
"Yasemin Erturan",1672.0000
"Nancy Ayers",831.0000
"Joan Kilby",831.0000
"Kalyan Varma",7347.0000
"Gajjala Sai Reddy",7347.0000
"Vakkanthal Chaitanya",7347.0000
"Bilal Kivrak",11944.0000
"Shin Sawada",790.0000
"Robert Louis Stevenson",4084.0000
"Yuri Alikov",4084.0000
"Ju-Yeon Son",1422.0000
"Marc Vautour",1190.0000
"Suttipong Muttanavee",2064.0000
"Gangothri Viswanath",3415.0000
"Brandon Smith",748.0000
"K Dasaradh",6431.0000
"S. Srikanth",2966.0000
"Writer Bhaiya",13022.0000
"Danni Hodson",2180.0000
"Jason James",983.0000
"Aleksey Nikolaev",1408.0000
"Gyu-Ri Hyun",701.0000
"Jack Casey",677.0000
"Priscilla Gonsalves",9053.0000
"Subhadeep Das",1099.0000
"Manu Thodupuzha",1101.0000
"Muhammed Shafi",2637.0000
"Jyothish M.",1135.0000
"Sunu A.V.",1135.0000
"B Sathish Kumar",1569.0000
"Ravi Kumar Bhuma",2662.0000
"Cyrille Lopez",4800.0000
LB,4800.0000
"Lizzy Goodman",1368.0000
"Kishore Sri Krishna",1618.0000
"Varun Suri",951.0000
"Zach Phillips",751.0000
"Bon-Han Koo",3113.0000
"Ed Arnold",11329.0000
"Santosh Murarikar",1750.0000
"Kang Hyun-joo",768.0000
"Qianying Xie",2131.0000
"Lee Han-bin",847.0000
"Carmela Covino",7815.3333
"Anna Szczypczynska",949.0000
"Katie Garraway",663.0000
"Mehmet Tutkun",14469.6667
"Lizzie Shane",795.0000
"Harald Kraume",756.0000
"Til Sipkovich",756.0000
"Sheng Lingzhi",1642.0000
"He Ben",1642.0000
"Chen Li",1642.0000
"Abhay Budki",7850.0000
"Paul Antony",1784.0000
"Shiqi Shen",646.0000
"Chak-Foon Sam",767.0000
"Nandu Savirigana",699.5000
"Anslavs Eglitis",640.0000
"Rajesh Varikkoli",647.0000
"Keiko Ogasawara",847.0000
S.U.Mariselvan,674.0000
Jagajeevan,674.0000
"Lejing Shen",1642.0000
"R. Mani Rao",798.0000
"Rajendra Vaitla",3043.0000
"Satyum Gupta",17310.0000
"Huang Yen Chiao",650.0000
AbhishekSinha78,2683.5000
"Jon Muñoz Otaegui",1216.0000
"Abhishek Sinha",1575.0000
"Aditya Verma",1048.0000
Deepu,7435.0000
"Julian Franco",2878.0000
"K.P. Thirumaaran",880.0000
"Laure Badufle",5777.0000
"Hiranmaye Kalyan",1902.0000
"Brian Smith",2923.5000
"Christopher Salazar",677.0000
"Leslie Proctor",677.0000
"Jean-Pierre Carrasso",1167.0000
"Tanzir Islam Britto",4521.7143
"Sorif B. Mahmud",8502.4286
"D. Arul Chezhiyan",2232.5000
"Oliver Yip",890.5000
"Malcolm Wilkins",666.0000
"R.S. Ramakrishnan",9396.0000
"Michael Jones",6540.0000
"P. Gangadhar",2007.3333
"Jassi Lohka",952.0000
"Fakir Muhammed",683.0000
"Alfred Prakash",7373.0000
"Shiva Mokka",6431.0000
"Edward Allen",834.0000
"Shehan Karunatilaka",2011.0000
"Rajeswari Panigrahi",2135.0000
"Xiao Wen",1287.5000
"Rui Li",2445.0000
"Sunil Gandhi",7176.0000
"Kanchhan Srivas",3376.0000
"Guan Gui",1100.0000
"Rajesh Gupta",1191.0000
"Kunal Solanki",1191.0000
"Vidhyanand Kadukar",1191.0000
"M R Varma",4133.0000
"SJ Arjun",998.5000
"Boya Jangaiah",1038.0000
"Frank Henry",1915.0000
"Philippe Roux",1915.0000
"Judy Montanez",13043.0000
"Susan Silver",875.0000
"Adarsh Jaunpuri",2433.0000
"Hriday Singh",951.0000
"Gargee Singh",9360.0000
"Natalia Osinska",925.0000
"Hee-Chan Lee",828.5000
"Sandeep SP",1230.0000
"Noraiz Nafi",35973.0000
"Suraj Pal Rajak",1088.0000
"Reem El-Qamash",1037.0000
"Kotaro Takata",4715.0000
"Srivathsa Rao",1021.0000
"Giorgia Iannone",5466.0000
"Suhrita Das",3916.0000
"Ravi Rajput",5762.0000
"Mahesh Kumar",951.0000
Kashi,2686.0000
"Sujeet Kumar Gupta",927.0000
"Nick Ghezzi",1307.0000
"Kirsten Guenther",3977.0000
"Ángeles Doñate",1134.0000
Ma.Kamadhurai,709.0000
"M. Vediayappan",709.0000
"Russ Friedman",1435.0000
"Abbas Jahangirian",1112.5000
"Raknil Avro",712.0000
"Abdulaziz Al-Muzaini",2389.0000
"V.V. Shirwadkar",6084.0000
"Yixiong Yin",1502.0000
"Karleah J. Morgan",1086.0000
"Ryu Sun-gyu",897.0000
"Shatha Saber",19089.0000
"Barnet Fishbein",2616.0000
"Udhay Pottipadu",2060.3750
"Robin Paul",825.0000
"William Wingate",3462.0000
"Akshat Trivedi",6318.0000
"Ravi Ra",3204.0000
"Mehmedalia Bojic",1762.0000
"Anudeep Yeddu",1891.0000
"John Glennie",3243.0000
"Jane Phare",3243.0000
"Raghupathi Reddy",1291.0000
"Ramesh Eligeti",1308.0000
"Lai Chih-liang",3812.0000
Sreevathson,2094.0000
"Gabriel Clarke",29102.0000
"VV Vamanrao",1629.0000
"Abdul Rafay Chandio",11984.1429
"Igor Aptekman",4472.8571
"Harnav Bir Singh",5117.0000
"Ranjan Pramod",4759.0000
"Parida Manomaiphibul",1602.0000
"Ariel Blanco Uz",805.0000
"Balagangadhar Srikakulapu",1078.5000
"Luc Jacamon",938.0000
"Gundu Shetty",2057.5000
"Pavan Kadiyala",4208.0000
"Lee Shin-ji",1474.0000
"Ramu Kona",2038.0000
"Varun Agarwal",676.0000
"Uros Bor",4683.5000
"Stephen Oliver",1533.0000
"Nagendra Seethkal",1101.0000
"Júlio Pessoa",666.0000
"Venkat Palwai",1099.0000
"Priyanka Aerukala",1099.0000
"Yûya Suzuki",747.0000
"Pierre Assouline",1886.0000
