primaryName,AverageVotes
"Sylwia Koperska-Mrozinska",5477.0000
"Stacy Connelly",6492.0000
Alai,716.0000
"Aleksa Rsumovic",970.0000
"James Pedersen",2297.0000
"Nani Challagulla",2466.0000
"Daniell Sayooj Nair",7122.0000
"K.S. Aravind",14244.0000
Samrat,1832.0000
"Shubham Ghude",83333.0000
"Suzanne Allain",1897.5000
"Amiel Bartana",1788.0000
"Muhammad Ahmes Avisiena Helvin",700.0000
"Savenia Melinda Sutrisno",700.0000
"Suman Kumar",2918.6667
"Ashish P. Verma",3794.7500
"Yujie Qiu",763.0000
"Maria Mikheleva",1002.0000
"Aditya Sinha",8070.0000
"Karl Dunne",8070.0000
"Hulusi Derici",926.0000
"Dogan Mirdogan",926.0000
"Yu Chen",975.2500
"Saketh Kondiparthi",17158.0000
"Rebecca Dinerstein",2397.0000
"Yesim Aslan",2464.0000
Damao,4105.5000
"Darius Yarmil",4429.0000
"Andrea Chalupa",7517.5000
"Frank Bill",2403.0000
"Tharun Kumar",2251.0000
"Sreeja Sreedharan",2155.0000
"Derek H. Potts",6161.0000
"Jennie Rooney",13882.0000
"Carolina López-Rodriguez",846.0000
"Yiran Pan",1066.6667
"Rahul Pandey",55700.0000
Chetan,1815.0000
"Rui Ge",2588.0000
"Mind Candy",644.0000
"Metin Ulusal",767.0000
"Ankush Singh",7394.3333
"Lori Copeland",1829.0000
"Laurence Olivier",744.5000
"Lou Binder",3133.0000
"Zelin Li",693.0000
"Ryoichi Wada",10612.0000
"Abhishek Dixit",7176.0000
"André Cédilot",1559.0000
"Mel Wallis de Vries",931.0000
"Chanchal Dabra",779.0000
"Payal Ashar",3032.0000
"Bruce B.L. Jurgens",83439.0000
"Jeevan Baby Mathew",1472.0000
"Michelle Halbheer",899.0000
"Carsten Juul Bladt",716.0000
"Tayfun Türkili",7787.0000
"Meriem Ben Mohamed",2609.0000
"Shyam Muraleedharan",2174.5000
"Mahboob Rahman",700.0000
"Sarah Montana",1135.0000
"D. Eric Maikranz",57632.0000
"Isoko Mochizuki",692.0000
"Joyzel Acevedo",6118.0000
"Hosein Amiri Doumari",3358.0000
"Jay S Arnold",18677.0000
"Rushikesh Turai",2255.5000
"Padmavathi Rajakakarlapudi",1386.0000
"Aleksey Permyakov",1255.0000
"Manju M Garhwal",3623.0000
"Alexandr Nazarov",1200.0000
"Martina Wildner",4274.0000
"Siphosethu Tshapu",1159.0000
"Priscilla Friedrich",1436.0000
"Otto Friedrich",1436.0000
"Aka Akasaka",697.3333
"Aleksandr Konovalov",5281.0000
"Yasuhiro Nakanishi",1537.0000
"L.H. Adams",41506.0000
Dollar,831.0000
"Kumo Kagyû",1800.0000
"Craig W. Sanger",43122.0000
"Suraj Majhi",831.0000
"Zhuzhu Chen",3926.5000
"Manuel Martín",5091.0000
"Manu Gopal",1137.2500
"Meharali Poilungal Ismail",1354.0000
"Nur Naquyah bt Burhanuddin",807.0000
"Aliya Nazlan",807.0000
"Arun Balaji",1152.0000
"Chris Eyerman",703.0000
"Christine Laurent",1963.3000
"Lorenzo Collalti",1445.0000
"Darya Pavlotos",966.0000
"Marina Maria Iorio",1199.0000
"'A.J.' Marriot",39226.0000
"Alice Urciuolo",1066.0000
"Ian Hayden",1213.0000
"Fredrik Høyer",688.0000
Manushyaputhiran,634.0000
"André Moreira Forni",943.5000
"Paulo Crumbim",943.5000
"Gang Wang",1817.3333
"David Kolbusz",3565.0000
"Arthur Brooke",680.6000
"Manuel Martín Ferreras",5091.0000
"Maciej Chwedo",775.0000
"Marta Hryniak",3249.0000
"Matthias Deiß",2292.0000
"Federico Fracchia",870.0000
"Elizabeth Kendall",99661.0000
"André Noël",1559.0000
"Enming Zhang",692.5000
"Katsuhisa Minami",2423.0000
"Piyaluk Tuntisrisakul",1108.0000
"Negi Haruba",864.5000
"Jesse Chatham",14425.0000
"Anna Ekberg",12366.0000
"Casey McQuiston",38978.0000
"Fermín Solís",785.3333
"Damien Knightley",1087.3333
"Ashraf Hamza",5612.0000
"Elizabeth Sanders",20694.0000
"Harald Oimoen",639.0000
"Joyce Smith",10681.0000
"Perrine Margaine",1012.0000
"Hemant k Bhatnagar",3072.0000
"Scott Wascha",34096.0000
"Alison Peck",14192.0000
"Vesela Toteva",1416.0000
"Bheem Srinivas",9242.0000
"Florence Goupil",6118.0000
"Dan Paul Lee",2300.0000
"Claire Keegan",8781.0000
"Vinay Chhawal",11177.0000
"Sebastian Bendix",1141.0000
"Jung Seo-Kyoung",3145.0000
"Michael Mallie",2712.0000
"Doug Wolfe",5917.5000
"Rosine Courtney Okie",1559.0000
"Mauro Boselli",861.0000
"Maurizio Colombo",861.0000
"Nick Morris",10267.3333
"Olga Rud",2154.0000
"Karan Vishwanath Kashyap",49640.5000
"Mansi Bagla",1602.0000
"Fatih Hocaoglu",18113.0000
"Lisa Owens",2494.0000
"F.H. Batacan",656.0000
"Liu Qingbang",2852.0000
"Colin Niel",7179.0000
"Mary Kay Andrews",1901.0000
"Jiuyue Xi",11966.0000
"Ponni Valavan",799.3333
"Masahiro Noda",1589.0000
"Leo Herrera",1946.0000
"Subhendu Dasmunshi",1139.0000
"Raúl Blanchet",2349.0000
Anamta-Amaan,704.0000
"Sameer Halim",1580.0000
"Jona Doug",663.0000
"Aji Peter Thankam",1020.0000
"Emma Nicholls",21091.0000
"Karim Hassan Beshir",1053.5000
"Yigua Xu",939.5000
"Margot Knijn",1993.0000
"Parinda Joshi",1586.3333
"Balaji K",1667.0000
"Sandra Philip",1644.0000
"Carl Rees",1264.0000
"Xu Lei",1059.0000
"Lou Du Pontavice",1129.0000
"Caera Bradshaw",949.0000
"Mykhailo Rud",738.0000
"Aykut Öztürk",1538.0000
"Elena Enache",663.0000
"J.A. White",10087.0000
"Yashodhan Kelkar",1866.5000
"Jeff Carpenter",1350.0000
"Lily Brooks-Dalton",87407.0000
"Hideo Furukawa",1894.0000
"Henricus Pria",1830.5000
"Babu Tamizh",634.0000
"Maciej Kazula",757.0000
"Genevieve Young",1561.0000
"Michael Kun",1004.0000
"Anita Hughes",888.5000
"Gregory D. Widmer",3437.0000
"Diana Budisavljevic",1522.0000
"Jonathan Lopez",5104.0000
"Bharathi Thambi",1990.0000
"Fahim Safar",1336.5000
"Alphonse Badolo",8407.0000
"Jack Fincher",80029.0000
"Stephen S. Thompson",744.0000
"Nhi Bui",996.0000
"Bibin Mohan",2576.0000
Sanjeev,8365.0000
"Santiago Genovés",1020.0000
"WooChul Jung",5075.0000
"WoongSub Ahn",5075.0000
"ChangWon Kim",5075.0000
"Yunyun Wei",8254.0000
"Charu Gupta",5932.0000
"Jeff Gatson",1457.5000
"Kou Yoneda",873.0000
"Imran Aslam",918.0000
"Nasser Aslam",918.0000
"Jeremy Trombetta",804.0000
"Corinna Halloran",1969.0000
"Sverre Bævre",667.0000
"Valentina Angelova",762.0000
"Francis Thomas",698.0000
"Marcelo Páez Cubells",799.5000
"Javed Haider Zaidi",706.0000
"Fengxiang Yang",1604.5000
"Antoaneta Opris",13110.0000
"Carmen Ballesteros",1094.0000
"Marta Medina",709.0000
"Edmond Minashvili",883.0000
"Nirmaan Dsingh",15798.0000
"Sua Shin",978.0000
"Anthony Metivier",21553.0000
"Ivan Illich",40507.0000
"Miguel Seabra Lopes",691.0000
"Pedro Cesarino",691.0000
"Alfred Kurian Joseph",3678.0000
"Nakaba Suzuki",1886.2500
"Jineesh K. Joy",921.0000
"Yiftach R. Atir",7200.0000
"Inam Hasan",2788.0000
"Jennifer Shirley",1764.0000
"Rebecca Ewing",57862.0000
"Pamela Diop",2427.0000
"Divya Narayanan",15647.0000
"Shabia Walia",1155.0000
"Christopher Ulaski",943.0000
"Leon Tomlinson",943.0000
"Brent Dillon",20592.0000
"Anthea Bell",13988.0000
"Eugen Cojocariu",663.0000
"Yonggan Yu",1322.6667
"G. Neri",9510.0000
"Mike Lachance",1050.0000
"Philippe Routier",1782.0000
"Haro Aso",4715.0000
"Alessio Vicenzotto",4115.0000
"K.G.R Ashok",21772.0000
"Thibault Valetoux",848.0000
"Rob Warren Thomas",1455.0000
"Bashir Badr",29945.0000
"Akbar Allahabadi",29945.0000
"Brij Narayan Chakbast",29945.0000
"Raghava Tiruvaipati",894.5000
"Kathryn Rhett",1096.0000
"A'Ziah King",16448.0000
"Ibrahim Asif Mirza",1144.0000
"Shaji Pallarimangalam",1339.0000
"Laoshi Yan",652.0000
"Ilona Ahti",1142.5000
"Blanka Lipinska",42409.3333
"Egerton Ryerson Young",11217.8000
"Sukhjeet Jaito",642.0000
"Florian Assous",1364.0000
"Ravi Kiran Kola",1734.0000
"Kexin Peng",1057.5000
"Ramashrit Joshi",9157.0000
"Carine Chaiban",5218.0000
"Alex Hall",784.0000
"Grzegorz Barlog",773.0000
"Gargi Mukhopadhay",921.0000
"Se-bom Kim",1119.0000
"Rahul Pandita",15402.0000
"Fritzi Adelman",21091.0000
"Hope Ramsay",1261.0000
"Sainath Ganuwad",1501.0000
"Lesley Ann McDaniel",822.0000
"Ravi Kumar",4436.0000
"Yô Watanabe",3589.0000
"Vali Dobrogeanu",3206.0000
"Quinne Larsen",2343.0000
"C.J. Carmichael",2505.0000
"José Enrique Macián",4197.0000
"Raisul Azam Moni",721.0000
"Yair Hizmi",800.0000
"Elizabeth Brundage",34767.0000
"Billy Reilly",848.0000
"Michael Baughan",848.0000
"Sam Sweet",5447.0000
"Eric Gardner",964.0000
"Carolina Nishikubo",1160.0000
"Keith Hemstreet",655.4000
"Gonzalo Ventura",769.0000
"Rafal Wos",1710.5000
"Rohan Ghose",769.2500
"Aastha Tiku",11462.0000
"Julien Colombani",2787.0000
"Yash Eshawari",704.0000
"Victoria Mas",3861.0000
"Megan Henry Herzlinger",743.0000
"Nathan Ballingrud",10507.5000
"Jocelyne Saucier",722.0000
"Kaiu Shirai",789.0000
Ufotable,38705.5000
"Fahim Mohammad",1716.0000
"Ying Shang",1432.0000
"Han-Kyul Kim",680.0000
"Mehmet Eroglu",1596.0000
"Shania Kumar",980.0000
"Danish Singh",5529.0000
"Vineeth Krishnan",1342.0000
"Magesh Boji",1342.0000
"Kyung-Eun Min",1140.0000
"Kristen Ashley",800.0000
"Manish Muradiya",1089.0000
"Ketan Bhagat",921.0000
"Yun-Cheung Kong",1059.0000
"Malysone Bovorasmy",3557.0000
"Se-hee Kim",776.0000
"Omer Levin Menekse",656.0000
"Abhilash Pillai",2393.6000
"Kedar Patankar",10952.0000
"Saeid Shahi",1285.2000
"Ding Xiao",2950.0000
"Ashif Kakkodi",1524.3333
"Chiara Palazzolo",2279.0000
"Mengdi Xiu",1083.0000
"Rikk Dunlap",2148.0000
"Satish Vegesna",997.5455
"Kelly Pascuzzi",1790.0000
"Min Kim",1032.0000
"Jak Jang",1028.0000
"Cao Sheng",969.0000
"Nikhil Vahid",3579.0000
"Rosa Parnake",1228.0000
"Sheng Lei",1752.0000
"Peng Li",1077.0000
"Kaihua Fan",938.5000
"Yuqian Qin",1752.0000
"Sara Gay Forden",151482.0000
"Erika Wilde",1584.0000
"Carly Phillips",1584.0000
"Chih-Chung Chien",1171.5000
Sudhas,3579.0000
"Chandrashekhar Dhavalikar",5992.0000
"Deborah Kay Davies",1366.0000
"Christine Demetriades",1347.0000
"Drew Johnson",8068.0000
"Garima Pura Patiyaalvi",3025.3333
"Félix Vidal",1148.0000
"Andre Case",1379.0000
"Jeff Allen Geare",1807.0000
Jatinder-Lall,730.7500
"Fariba Chesler",817.5000
Shalbin,1820.0000
Nebin,1820.0000
